Author,Rating,Review,Restaurant,Location
Jia Pin Lee,"Rated 4.0 out of 5,","Came here for the High Tea. Great service especially by Mr. Jeet. He's friendly, accommodating and polite. Thank you for your great service. …MoreCame here for the High Tea. Great service especially by Mr. Jeet. He's friendly, accommodating and polite. Thank you for your great service.The high tea set itself is quite nice but could be improved by adding more savory options. However, the price is affordable.Beautiful surrounding. Good for picture taking.eWallet Boost and TnG are accepted here.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Chui Yi Lum,"Rated 2.0 out of 5,","5 stars for the service, even though some of the staffs need to be trained better, but that doesn’t affect the overall experience. I’m from the industry itself so they should be given the opportunities. …More5 stars for the service, even though some of the staffs need to be trained better, but that doesn’t affect the overall experience. I’m from the industry itself so they should be given the opportunities.As for the food, seriously need improvement, it’s not value for money at all. Really disappointed on the food since it’s attached to a 5 star resort so had high expectation.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
liezel wong,"Rated 1.0 out of 5,","Hi, thank you for your service. But! i feel so sorry for the food. They deserve more love. Ur Nasi Lemak Specialll tasted like yesterday's breakfast. Everything under seasoned. Rice tasted like chlorine. I went to Old Town the next day and …MoreHi, thank you for your service. But! i feel so sorry for the food. They deserve more love. Ur Nasi Lemak Specialll tasted like yesterday's breakfast. Everything under seasoned. Rice tasted like chlorine. I went to Old Town the next day and they tasted wayyyy better. And its just RM12. Yours costed me RM26 with no value. please please please, take care of ur name. Cut cost but not value. Ur next customers deserve more.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Nazri Nor,"Rated 1.0 out of 5,","I have the worse buffer dinner ever so far. The spread is so small, chicken kung po without cashew nut, salty lamb dishes n hard to eat bbq meat to name a few. Very bad experience n the buffet quite expensive.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Fakru Imran's Channel,"Rated 5.0 out of 5,","That's are Known 5 Elmark "" 9H72 "" & KDK "" 3 K14Y9 & 1 K14Y5 "" Ceiling Fan can't believe was Known nice restaurant isn't that upcoming video kipas Siling",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Shukri Said,"Rated 2.0 out of 5,","I just came back from there. 2 adults and 4 young children. We were looking for an exclusive dine-in experience after a hectic week, we were disappointed. …MoreI just came back from there. 2 adults and 4 young children. We were looking for an exclusive dine-in experience after a hectic week, we were disappointed.The good:1) The floor manager. A bald Indian guy who was superb. He was really attentive and was being friendly and even asked us, how many baby chairs needed.2) err.......hmm, what else was good yeah? Oh, foods were in large portions.The bad:1) Unfriendly, poorly trained, non-attentive staff members. It's like kedai mamak where you need to shout and lambai tangan for someone to assist you. Empty dirty plates need to be stacked by ourselves as noone bothered to provide such service.2)  Overcooked, not well prepared Fish&Chips. Yes, surprisingly, such a common dish made substandardly. The batter was overfried to the extend of rasa hangit. Lemon slice was a joke. My 6 years old could slice a better looking lemon! No tartar sauce given...yes, NO TARTAR SAUCE GIVEN. When I asked one of the girl for the sauce, she brought me TOBASCO SAUCE! I need to spell it out to her, then only she brought me a bowl of tartar sauce...just wow!3) Blantly tasted fried rice. Seriously, like no taste at all.4) Chewy Chicken Shawarma. Again, a rather common dish. The chicken was not seasoned enough (to my taste) and was chewy! I had better chicken shawarma from the street vendors! To make things worse...I ordered 2 of these!!!!5) Substandard spagetti carbonara. The spagetti was overcooked. The sauce was not seasoned enough.6) Desserts took forever to arrive. I needed to remind them 3 times to bring us our banana splits. Yes people, not some fancy desserts...but banana and ice cream only!!! Itu pun mau tunggu 30 minit kah???To the management, buck up please!Train and remind your staffs and chefs that customers are paying premium prices for good food and good dining experience!I couldn't help myself from thinking: ""Lebih baik makan di STG!""",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Yosuke,"Rated 2.0 out of 5,","Restaurant looks nice but taste is bad. I had BBQ buffet as attached. Flyer looks so nice so I expected but actually there are few variety of dishes, beef is not worth for the price. Coffee is instant.. Staff are taking plates away fast.. too fast..",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Hadie Rahman,"Rated 4.0 out of 5,","Pros: ambience is great with lake view, good air condition restaurant due Ipoh weather always hot, good and fast service waiter and waitress, accept touch and go e-wallet, free parking but open under hot sunshine, food tastes good …MorePros: ambience is great with lake view, good air condition restaurant due Ipoh weather always hot, good and fast service waiter and waitress, accept touch and go e-wallet, free parking but open under hot sunshine, food tastes good especially fried Kuey tiaw, great service from security guard guided escorted me from guard house until restaurant.Cons: car park under hot sunshine and very limited covered car park.Overall service is okay, cheaper than The Banjaran which neighbor to this The Haven, but service quality and offered use totally different.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Abdul Qavi Mohammed,"Rated 1.0 out of 5,","We went to this place after reviews on Tripadvisor totally disappointing experience . …MoreWe went to this place after reviews on Tripadvisor totally disappointing experience .Pricey for the quantity- awful taste : never had shawarma with bones , no pickled veggiestabuleh with only tomatoes & onionsNachos had no sauce - didn’t offer to substitute either.Half cooked meat and perhaps pre cooked /frozen food.",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
BingYao Li,"Rated 4.0 out of 5,","the restaurant is located inside the hotel, the day i came many dishes were not available. but at least the food we ordered the taste was ok, not bad",Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Mohd a-B,"Rated 3.0 out of 5,",Overall just okay. Can further improve.,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Haniff,"Rated 5.0 out of 5,",No 1 in Ipoh. Worth the try.,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Anton Wong,"Rated 5.0 out of 5,",Awesome F&B service staff and good breakfast buffet.,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Mango Wai,"Rated 5.0 out of 5,",Good breakfast with wide variety of food..,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Captain Sidekick,"Rated 3.0 out of 5,",The ala carte food in the menu is quite expensive but luckily the environment there are quite superb and nice,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
MAZRAH ABDUL MAJID,"Rated 5.0 out of 5,",Nice food,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Md Hadiuzzaman,"Rated 5.0 out of 5,",Best healthy food in perak..,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Fardly Ajoe,"Rated 3.0 out of 5,",Ok,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Ding Jing Chuah,"Rated 4.0 out of 5,",Food is not bad with wonderful atmosphere. Plenty of vegetarian options if you're looking for one.,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Vincent Hong,"Rated 5.0 out of 5,",(Translated by Google) Food is delicious 😋5 star service👍🏻The environment is very beautiful👍🏻 …More(Translated by Google) Food is delicious 😋5 star service👍🏻The environment is very beautiful👍🏻(Original)食物好吃😋5星级服务👍🏻环境非常优美👍🏻,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Hongliang Li,"Rated 3.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Amirul Anuar Abdullah Zubir,"Rated 4.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
RAHAH RASLAN,"Rated 3.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Kayalvili Nicholas,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Kannu Sivakumaran,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Menon Sequitur,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Rkid Berries,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
mohd azlan,"Rated 3.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Rahul Rajeev,"Rated 1.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Wara M.,"Rated 4.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Teoh Zhi Qian,"Rated 2.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
ZAMANI OTHMAN,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
YouWei Nicholas,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
hafiz yasser,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
KARTHIKEYAN,"Rated 5.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
monn goh,"Rated 3.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Shah Ahmad,"Rated 4.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
V K,"Rated 1.0 out of 5,",,Cuisines Restaurant,"Jalan Haven The Haven All Suite Resort Tambun, Ipoh, Perak"
Nessa Sarun,"Rated 5.0 out of 5,","Went here for the smoke duck. Was told its pork, lard free. They serve alcohol drinks here. …MoreWent here for the smoke duck. Was told its pork, lard free. They serve alcohol drinks here.Read from reviews, got 1 customer said he willing to come here from USA for the smoke duck apart from the one in hong kong. So we thought to give it a try while staying at Weil Hotel.Luckily we came early as we just realized they open at 6pm till 8pm! And luckily it wasn’t full house. Was told by the staffs, usually their duck sold out. We’re lucky enough to get to try! Saw another guests already booked their table. Staffs are very attentive even recommended us good foods apart from the duck.And of course the smoked ducks taste absolutely amazing. The skin so crispy and the spices not overpowering. Very tender & no fishy taste from the duck. We forgot what the other dish called but it was terrific as well. Probably will be in our list to eat in Ipoh next time. Price is very affordable for us. Half duck costed RM 45! That’s almost the same as KL price in a normal restaurant but the quality is like from a five star hotel restaurant!Overall a very satisfying experience. Too bad they no longer serve dim sum. I’d say this place kinda underdog as they don’t have much reviews on google but plenty reviews on trip advisor. So it was a tough pick initially for us google generation.If you’re looking for a convenient 5 star setting of a chinese restaurant with amazing smoked duck - this is a must to go place. You won’t regret it as our tongues did 🤣",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Ashley Goh Jr.,"Rated 4.0 out of 5,","Yuk Sou Hin has got the best dim sum in Ipoh in my opinion. There are only 2 possible outcomes when you eat their dim sums: a moment of silence as you ruminate over those soothingly delicate morsels or a gasp of amazement by the unexpected …MoreYuk Sou Hin has got the best dim sum in Ipoh in my opinion. There are only 2 possible outcomes when you eat their dim sums: a moment of silence as you ruminate over those soothingly delicate morsels or a gasp of amazement by the unexpected enticing flavours. My experience was a combination of both: the steamed dim sums plumped up with fresh, quality ingredients within the smooth skins made them real delectable, while the familiar taste of the rich molten salted egg custard inside the soft green bun elicited many fond childhood memories of me and my favourite bun. The unconventional skewered pan fried siu mai was utterly luscious, flavourfully coated in a special sweet and savoury brown sauce. Perhaps a rare sighting at yum cha places, but their braised seafood egg noodles topped with large, succulent prawns, scallops and mushrooms are a must order. Cooked to perfection, every strand was marvellously drenched in the piquant, thick gravy that I couldn’t help but mop it clean.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
纯粹享,"Rated 5.0 out of 5,","Spacious restaurant, friendly staffs and decent foods.  However the parking will be an issue.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
