Author,Review,Rating,Restaurant,Location
Schumakay Goh,"Was very happy from the moment stepping in the first time , placed my order and saw it made fresh in front of me. Smell was so inviting we were all happy when open the pizza box at home, ready for a big feast ! However it was quite …MoreWas very happy from the moment stepping in the first time , placed my order and saw it made fresh in front of me. Smell was so inviting we were all happy when open the pizza box at home, ready for a big feast ! However it was quite disappointed as the crust base was way over cooked, or stick too much of the old carbon from the oven turn plate. Sincerely hope the restaurant can take note, I will definitely come back for second visit and hope to see improvement ! The ingredients used is good, the fried stuff taste great too so , please, keep it up and I hope you to be better !","Rated 3.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
M Voon,We ordered a 12 in meat lovers pizza(Rm46) . Was very salty - was it due to the cold meats? Very cheesey. More tasty than what you would get from the two main franchise pizza outlets but cost double. There are only two small tables for …MoreWe ordered a 12 in meat lovers pizza(Rm46) . Was very salty - was it due to the cold meats? Very cheesey. More tasty than what you would get from the two main franchise pizza outlets but cost double. There are only two small tables for dine-ins. Equipped with an awesome looking stone oven but it uses gas rather than wood. I assume wood is nor practical with long idle intervals in the afternoon.,"Rated 4.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
Jackie Wong,The BEST pizza in Malaysia! Real NY pizza. Excellent crust. Had 2 12” pizzas - 1 with red sauce & 2 with white. Both fantastic. Also had the cannoli which was also very good. I highly recommend.,"Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
James Elliott,"Awesome pizza and pasta spot in Perling! The pasta is super reasonable (RM14) and delicious. As for the pizza, it’s made fresh in a legitimate pizza oven and cooked up in minutes! We really liked the crust on this one (floppy/chewy, not …MoreAwesome pizza and pasta spot in Perling! The pasta is super reasonable (RM14) and delicious. As for the pizza, it’s made fresh in a legitimate pizza oven and cooked up in minutes! We really liked the crust on this one (floppy/chewy, not crispy).If you’re looking for a nice pasta fix or super fresh pizza, Giovanni’s has you covered👍","Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
Joanne Lim 林舒雯,"This is proof that you don't need a silver fork to eat good food. An Italian restaurant that makes authentic Italian food accessible and affordable! The ingredients are high-quality, they serve REAL Italian herb sausages, and the marinara …MoreThis is proof that you don't need a silver fork to eat good food. An Italian restaurant that makes authentic Italian food accessible and affordable! The ingredients are high-quality, they serve REAL Italian herb sausages, and the marinara tomato sauce is not cheap prego tomato ketchup! I recommend this place to anyone for an introduction to proper, real Italian food. The prices are very reasonable for the quality and portion. The place is no-frills and cosy and the service was very polite, friendly and warm. No shortcuts, no Malaysian-ised (cili sauce, mayo, frozen vege, cheap processed ingredients substitutions).The menu that has a huge selection of oven-baked pizzas, platters, pastas, starters, appetisers, salads and desserts. Many of the items can only be found in fancy restaurants. The huge oven can be seen at the entrance!What I had: Starter: a delicious and crispy fried cheese ravioli with marinara dipping sauce. Main: Hot platter sausage parmesan with toasted garlic baguette and a bowl of pasta of my choice - Served in really generous portion, perfect for big eaters or sharing so the tummy can try other items. Highly recommended! Dessert : Spumoni, an Italian gelato ice cream of 3 layers, cherry, vanilla and pistachio. Tart, creamy and refreshing! What a unique taste!I will definitely come again to be transported in Italy!Advisable you order to take away if you're ordering for a big family.","Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
Aliah Umairah,"This place is really underrated, it deserves to be known. The food is really really unexpectedly excellent! The pizza that was authentically baked in a classic brick fire oven, tasted amazing! The pasta and side dish was lovely too.Wish the place to have more seatings so that more people could dine-in and enjoy the food.","Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
纤莹罗,The BEST pizza I ever had in Malaysia. Plsss do a try to bbq chicken pizza. Fully recommend🔥🔥🔥,"Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
"Kar Wyai, Yee",Hands down the best pizza I've ever eaten. It must be that gigantic and hot oven they have. Quality ingredients used which translates to fantastic pizzas.,"Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
kiki gieng,Very authentic freshly made pizza.  The pasta also very nice. Not easy to find a place in like this in Johor Bahru. I'm glad we found you,"Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
Josh Smith,"Great pizza, high-ish price point, dine-in is not recommended. Pesto pasta and lasagna were decent but felt like it was missing something. Layer ice cream(spumoni) was disappointing tho. However, the staff were friendly and helpful which …MoreGreat pizza, high-ish price point, dine-in is not recommended. Pesto pasta and lasagna were decent but felt like it was missing something. Layer ice cream(spumoni) was disappointing tho. However, the staff were friendly and helpful which was a plus point. WhatsApp ordering for delivery (Free delivery above RM40) is available at the given phone number.","Rated 4.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
Azreena Azizan,"Love the people.. My husband is Italian, we consider this restaurant at the best effort and provide close glimpse to common restaurant menu in Italy.","Rated 5.0 out of 5,",Giovannis,"169, Jalan Rawa, Taman Amira, Johor Bahru, Johor"
