Author,Review,Rating,Restaurant,Location
Suhana S,"We are meat lover. LOVED our Black Angus Tomahawk. Perfectly made as requested. Portobello sides is amazingly melted in mouth. Ceaser Salad complimented it well too. Served by well-verse Azu, David and Thangga. Will definitely be back!","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Lidia Plotkina,"Nice cute interior on the ground floor of Hilton. Great and welcoming service. Bug plus on the ambiance, music just right volume, cozy lights, spaces between the tables, overall great atmosphere. Food is unfortunately quite basic, garden …MoreNice cute interior on the ground floor of Hilton. Great and welcoming service. Bug plus on the ambiance, music just right volume, cozy lights, spaces between the tables, overall great atmosphere. Food is unfortunately quite basic, garden salad was so tiny and size of a small side dish. Ridiculous. Steak was also quite basic, good, but nothing great, three different sauces tastes very strong and quite similar. I would say highlight wad homemade bread with butter. Pineapple with ice-cream was a bit dry and difficult to chew, by right you shall remove the chewy part of pineapple. Can't taste any rhum in rhum and raisin ice cream.","Rated 3.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Jack Low,"I like my meat and Chambers does it again on my recent visit with an exceptional Angus ribeye med rare, perfectly seasoned, supremely tender with an excellent crust from the char. Kudos to the chef and team, and special shout out to Adli …MoreI like my meat and Chambers does it again on my recent visit with an exceptional Angus ribeye med rare, perfectly seasoned, supremely tender with an excellent crust from the char. Kudos to the chef and team, and special shout out to Adli for making the night extra special with birthday surprise for my daughter. Couldn't ask for more, Hilton KL rocksssss","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Alton Wong,"Steaks (especially the tomahawk) truly lived up to my expectations! Saw some pictures of it on IG before coming and was glad I tasted it. Came with family and ordered the Angus ribeye steak and a salmon as well, all of which were cooked …MoreSteaks (especially the tomahawk) truly lived up to my expectations! Saw some pictures of it on IG before coming and was glad I tasted it. Came with family and ordered the Angus ribeye steak and a salmon as well, all of which were cooked perfectly. Sides and appetizers were all great as well. The team was very helpful and attentive which made the whole night a pleasant experience.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Christ Ng,"Very nice hospitality ,especially the General Manager(which we forgot his game😂) very friendly , nice food, nice atmosphere 😍😍","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Joanna Blas,"Memorable dinner at Chamber's Grill, Hilton KL. Succulent wagyu tomahawk that melts in your mouth and cooked just according to our preference. Very good service throughtout the dinner - they also delivered our dessert with birthday song and greetings. Truly delightful.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Jewel M.,"Tender juicy tomahawk, will be back! Good service from the team. Thank you Adli, Azu, Stephanie, Chef Steven, Nathan, Hazi Q, Ehsan.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Jonathan Lim,"A small bar connected to the Chambers grill restaurant. Concoctions are rum based and claims to be the home of the jungle bird cocktail. Many variants of the jungle bird are offered between 40 and 60 RM. The jackfruit jungle bird was …MoreA small bar connected to the Chambers grill restaurant. Concoctions are rum based and claims to be the home of the jungle bird cocktail. Many variants of the jungle bird are offered between 40 and 60 RM. The jackfruit jungle bird was refreshing. Small nibbles were offered as well, and we had the beef sliders and chicken wings. Both were 30 RM and unfortunately very small. We ended up gorging on the free flow Black pepper peanuts. Not many seats around but there are large armchairs next to the wine display where you get decent photo opportunities. On the whole, I think it's quite overpriced for what they offer, the drinks felt watered down although presentation was not too bad.If you liked this review please hit like so more people can read it","Rated 3.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
AJ Ash,"Hosted couple of friends at the Chambers Grill of Hilton KL Sentral for dinner yesterday. Pleasant atmosphere with warm service from Mr Adli, the manager of the restaurant. Received a call from him prior to my arrival to check on menu, wine …MoreHosted couple of friends at the Chambers Grill of Hilton KL Sentral for dinner yesterday. Pleasant atmosphere with warm service from Mr Adli, the manager of the restaurant. Received a call from him prior to my arrival to check on menu, wine preparation etc. We were greeted by him sharp at 8pm and ushered to our table.Mr Adli presented a list of menu and suggested options for our dinner.  Wines were served correctly and at appropriate temperature.We also want to thank staff Fajar, Chef Nathan and Chef Steven for making our evening dinner a memorable experience, one to remember for a long time.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Chrystinne Kam,Apart from the very expensive parking an hour RM9 per hour. Food is good. Wagyu beef steak is amazing...worth to try. Flaming creme brulee is an amazing experience to try.,"Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Kaptain Kerr,Pretty cool bar in the Hilton KL Sentral. I like the design of the bar with its funky curved ceiling. Good selection of all the usual drinks so worth checking out if ever in KL Sentral. Staff seemed friendly too but I didn't try and of the bar snacks or food.,"Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Lea Edzdianaziqah Ghazalli,"Great food & ambience. Thank you so much to Adli, David, Thange & Chef Steven for the great hospitality.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Marc Woo,RM 300 for a tasteless and dry new york striploin and cheap walls ice cream to compliment a no-moisture RM 38 brownie. …MoreRM 300 for a tasteless and dry new york striploin and cheap walls ice cream to compliment a no-moisture RM 38 brownie.Weak service.Stay away.,"Rated 1.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
moghana_s,"Came here for my company dinner back in January. Their food is good and high quality, with great ambience. It’s a nice place to have a business or romantic dinner with, something to try out at least once.","Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Flo Yeow,"My steak experience here was probably one of the best I've had in a long while. Both the bar and restaurant looks and feels posh. Ambience is just right for a good evening date. The cuts they carry are really prime. The wine shelf looks …MoreMy steak experience here was probably one of the best I've had in a long while. Both the bar and restaurant looks and feels posh. Ambience is just right for a good evening date. The cuts they carry are really prime. The wine shelf looks really cool. If you need a wine recommendation, get the Malbec red. Great for groups and business meals, as it's quiet and very peaceful. Make sure you also try the chocolate lava cake for desserts. Prices can be really steep though!","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Thomas Heng,"The waiters is very unfriendly. When I ask her, will you accept walk in or reservation, she said is fully book book but I found out that 50% is empty, then I ask why there is so many empty table but you still mention is fully book, then …MoreThe waiters is very unfriendly. When I ask her, will you accept walk in or reservation, she said is fully book book but I found out that 50% is empty, then I ask why there is so many empty table but you still mention is fully book, then only she said, pls wait and we are cleaning to you, after tell this then just walk away.... Very rude.I tried wakyu rib eye, the food is acceptable, not really on par.","Rated 1.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
yeng,Tomahawk was really good and juicy. Spot on when we requested for medium rare. Portion was very big too. Hospitality was great by Regina.,"Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
azizur riza,"Dinner on the 19th December.Excellent food & service always!!!Thanks to a great team Adli, Nathan, Steven,Stephanie,Haziq, Azi, Fajar .","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
tony tey,"Environment & services are excellent, but food just normal.","Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Wayen Yong,Steak was prolly done... Meat quality so so,"Rated 3.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Thomas Weidmann,"Amazing food and authentic steak house!A bit pricy too, but you don’t eat such a well nicely grilled steak every day. I was very impressed.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Mark Hawkins,"Portions are not huge, but the food is of excellent quality and cooked to perfection.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Old 7 Barber Shop,great experience.,"Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
BKG,"Good food, service s good and the environment is relaxing.","Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Azlin-hezri Adira,Good environment n very friendly staff👍👍,"Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Vanessa Lim,Wonderful cocktails and good service,"Rated 5.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Tony Wong,still have rooms to improve the food,"Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Hui Hua,Like itttt,"Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
ruler KK,"(Translated by Google) Pretty good steak in KL. Generally satisfiedI did it in the medium lair, but it was cold.It seems like a lesser drink of red wine …More(Translated by Google) Pretty good steak in KL. Generally satisfiedI did it in the medium lair, but it was cold.It seems like a lesser drink of red wine(Original)Pretty good steak in KL. Generally satisfied미듐 래어로 했는데도...식으니까 쪼끔 퍽퍽ㅜ레드 와인을 덜 마셔서 그런듯😂","Rated 4.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Marcus Loh,,"Rated 3.0 out of 5,",Chamber’s Grill,"Lobby Level, 3, Jalan Stesen Sentral, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
YuRu Jane,Very pleasant dining experience and had a great date night with my bestie! The squid ink pasta is defo a Must Try because it’s really special. Slightly spicy even I have requested for mild. But it definitely brings out the best of the dish. …MoreVery pleasant dining experience and had a great date night with my bestie! The squid ink pasta is defo a Must Try because it’s really special. Slightly spicy even I have requested for mild. But it definitely brings out the best of the dish. Forgot the name of the dessert but it is so refreshing despite being a dessert. Am gonna be back for sure. Thank you to all the friendly and helpful staff.,"Rated 5.0 out of 5,",Positano Risto @ Publika,"Block C1, Lot 2, Level G3, Publika Shopping Gallery, No. 1, Jalan Dutamas 1, Solaris Dutamas, Kuala Lumpur"
Joanna lee,"Mid to high range Italian restaurant that serves delicious food. We ordered the squid ink pasta and smoked chicken pizza, both tasted heavenly. Every ingredient in the pasta were fresh and carefully seasoned. The smoked chicken pasta didn’t …MoreMid to high range Italian restaurant that serves delicious food. We ordered the squid ink pasta and smoked chicken pizza, both tasted heavenly. Every ingredient in the pasta were fresh and carefully seasoned. The smoked chicken pasta didn’t look good in appearance, but when placed in the mouth was a whole new experience! The richness of the creamy cheese plus the saltiness of the smoked chicken fills your mouth and leaves it craving for more. The waiter tried hard to promote their lobster dishes to us, but we weren’t prepared for an extravagant dinner. Maybe one day! Prices of their food are mid to high, but affordable for the quality you get. Be sure to make a reservation on weekend nights or you might not get a table.","Rated 5.0 out of 5,",Positano Risto @ Publika,"Block C1, Lot 2, Level G3, Publika Shopping Gallery, No. 1, Jalan Dutamas 1, Solaris Dutamas, Kuala Lumpur"
