Author,Review,Rating,Restaurant,Location
SUSANNA THONG,"Great atmosphere, friendly owners but the food can be improved. The stir fry tapioca leaves is a little too salty.  We ordered Aglio olio spaghetti, pork sausage with mash potatoes, chicken chop, fried rice, fried beehoon with manicai and …MoreGreat atmosphere, friendly owners but the food can be improved. The stir fry tapioca leaves is a little too salty.  We ordered Aglio olio spaghetti, pork sausage with mash potatoes, chicken chop, fried rice, fried beehoon with manicai and midin. The downside was we waited for more than an hour for our fried onion rings (asked the waitress and waiter to check 3 times)and we didn't even come late nor ordered late. It is a great place to hang out regardless.","Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Ravi Nischal,"A truly memorable dining experience at The Bikalan ! Located in the heart of the night market in the historic trading town of siniawan an hour + drive from Kuching, this English styled pub serving local sarawakian & malaysian delicacies is …MoreA truly memorable dining experience at The Bikalan ! Located in the heart of the night market in the historic trading town of siniawan an hour + drive from Kuching, this English styled pub serving local sarawakian & malaysian delicacies is not to be missed. Must meet Grace & Andy the lovely couple for their recommendations on the Menu & the signature cocktails. The succulent 3 layed steamed Pork is a must have... as is the layered pork marinated in fermented tofu deep fried with ginger. Had along with the kolo mee & cangkuk telur, it made for a perfect gastronomic experience. Cant wait to me back !","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Philip Keith,"I like the ambience, nice place to chill with friends.Also, the food is delicious and it doesn't contain too much oil. I highly …MoreI like the ambience, nice place to chill with friends.Also, the food is delicious and it doesn't contain too much oil. I highly recommend this place for those who are looking for healthy food.Cheers.","Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
PAUL JOHEM,Great place to hang out with family & friends. I like their fried rice with roasted pork together with draught beer. The Owner of The Bikalan: Andy& Grace Newland are very friendly. Thumbs up guys.,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
NASHA PRIVE,Nice chill out places...5 star .best bar in seniawan....nice for small wedding and birthday celebration,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Dayak Wanderer,"Nice cosy pub located within one of the last remaining old towns in Sarawak.The taukey Andy is a fantastic bloke with a typical dry sense of humor. …MoreNice cosy pub located within one of the last remaining old towns in Sarawak.The taukey Andy is a fantastic bloke with a typical dry sense of humor.The food served is amazing. If you are bloody hungry, recommend to try out the local dishes here. Superb. If not then just grab a quick bite.Beer and stout is available.","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Moini Mail,"My friend and i have a good time to reunite after so long no see for each other.Even though that was a rainy day but we can still have fun and travel from Kuching to Bau town and then back to Kuching again.That time we have no idea where to …MoreMy friend and i have a good time to reunite after so long no see for each other.Even though that was a rainy day but we can still have fun and travel from Kuching to Bau town and then back to Kuching again.That time we have no idea where to go and what to do so..i give a little suggestion to show my hometown which is Bau town to my friend. And she said okay let’s go.Because my friend quite new with the road way to Bau town so finally we’re arrived after an hour from Kuching.After we spent time at Bau town and the weather (raining) still not let me down anyway.So i have one more place to go which is Siniawan,kinda old town place but it’s very nostalgic.From Bau town then we going to visit the Siniawan town.Finally i feel like it’s been for a while to come here and that day we going was on weekday no shops or night market.Luckily there’s one bar opened which is The Bikalan.You saved our day,and all kind of things like drinks,snacks and foods are served in The Bikalan.We order potato wedges with cheese,i can tell you the portion it’s worth for 2-3 persons,not forget i like the onion rings and ginger pork too.I like the crispy ginger pork and drink with the Roselle Tuak and it’s awesome.Love the atmosphere was so relaxed and comfortable.Friendly owner and good service.The price is fair and reasonable.The toilet is very clean and tidy.Totally excellent.","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Julia Ng,"Took a drive to the quaint village of Siniawan to have a drink at the Bikalan. The Bikalan is a pub and restaurant owned by a very friendly couple, Andy and Grace. Andy is from London and a Manchester United fan, while Grace is a local …MoreTook a drive to the quaint village of Siniawan to have a drink at the Bikalan. The Bikalan is a pub and restaurant owned by a very friendly couple, Andy and Grace. Andy is from London and a Manchester United fan, while Grace is a local Sarawakian. The pub itself has a lovely atmosphere, it is by the river, in a rustic cowboy like setting. They had Guinness and Tiger on tap. We tried the local food and it was absolutely delicious! The deep fried pork with ginger was sooo good! Highly recommended as a place to hangout, for some fresh air and a change of scenery.Note: The Siniawan night market is currently closed, so it is nice and quiet at the moment. If anyone is concern about being in a crowded environment because of Covid.","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Steven Quint,"I lived near the Siniawan area for 5 years as one of the few Western residents. The opening of the Bikalan was most welcome. A lot of restaurants in the area tend to copycat one another in terms of how their food tastes and how you get …MoreI lived near the Siniawan area for 5 years as one of the few Western residents. The opening of the Bikalan was most welcome. A lot of restaurants in the area tend to copycat one another in terms of how their food tastes and how you get served. Well, the Bikalan is definitely original. Their food isn't merely great, it stands out. I am friends with the owners Grace and Andy, after visiting the Bikalan numerous times, and they're super friendly and conversational. They run their restaurant with a positive energy that goes unmatched. Meet them and see for yourself. The live bands and customer service are some of the best I've ever encountered. You won't find this anywhere else in the area. With all this great stuff you'd think it would be expensive, but it's actually a really great deal. I've entertained parties of 10+ people at the Bikalan without straining my wallet. You'll get more in return than what you pay.","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Rider Chris,"As I've travelled quite extensively in South East Asia, I must say Bikalan is one of my favourite bars that I've been to. Situated just about 25KM from Kuching city, Bikalan is a laid back bar, serving authentic local cuisine and they offer …MoreAs I've travelled quite extensively in South East Asia, I must say Bikalan is one of my favourite bars that I've been to. Situated just about 25KM from Kuching city, Bikalan is a laid back bar, serving authentic local cuisine and they offer a great range of alcohol/foods to fill up your night. Their food/drinks pricings are quite affordable and we really enjoyed the Bikalan, you don't get this kind of atmosphere anywhere in Malaysia. Imagine having a good draught beer next to a river in a Belian wood shop house in Siniawan's historic main bazaar.The owners (Andy & Grace) are down to the earth person. If you're going there, ask Andy about the history of the place, he would love to explain it to you. Tips: If you're going here, make sure you arrange cab/taxi/grab on your way back in advance. Alternatively, you can stay at the Tian Xia homestay at the night market area. (Just Google it)","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Garen Leong,"A good place to hangout.. good environment, nice atmosphere! Very friendly owner.. a lot of variety foods to choose, affordable price and most of all, delicious! Very recommended.. 👍🏼👍🏼 ❤️❤️","Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Tracy Steiner,"After walking through the beautiful main drag of the Siniawan Night Market, The Bikalan immediately stood out; it was such a beautiful and unique-looking bar so decided to stop by for a drink. Well, one drink turned into a few and we ended …MoreAfter walking through the beautiful main drag of the Siniawan Night Market, The Bikalan immediately stood out; it was such a beautiful and unique-looking bar so decided to stop by for a drink. Well, one drink turned into a few and we ended up spending close to 3 hours there! The owner, Andy, was such a great guy to chat with - he was super friendly and gave us so many tips on things to see and do in Kuching. He even texted his friend to find out where we could get sheisha in town (we found it, Andy, and it was great - thanks). His wife, Grace, was equally amazing, and it's easy to see why this place is so loved - It's like a local pub, but in the heart of the countryside, where even travelers like ourselves who are just stopping by can feel a sense of home. A definite must if you visit Kuching!","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Kasper Langejan,"When we visited Kuching, the owner of our homestay took us to this bar. We were warmly welcomed by the owners, Andy and Grace, as if we knew them already. We had a couple of beers and we tried some local drinks, like rice wine. Great …MoreWhen we visited Kuching, the owner of our homestay took us to this bar. We were warmly welcomed by the owners, Andy and Grace, as if we knew them already. We had a couple of beers and we tried some local drinks, like rice wine. Great atmosphere and genuinely nice people. The nightmarket is must do, and when you are at it get a drink here!","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Nicole Chay Nee Siah,"It was one of the very very few restaurants that was opened so we decided to get some snacks there since we drove all the way from Kuching city Center. …MoreIt was one of the very very few restaurants that was opened so we decided to get some snacks there since we drove all the way from Kuching city Center.We ordered Cantonese noodles, cheesy fries, calamari, stir fried vegetables. All the food was quite decentOne down side is that there were quite a few cats (I believe they were stray cats) in the restaurant roaming around looking for food while we were eating, not too hygiene. Also quite many flies.","Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Pete Mitchell,"A great place to chill out. Food's good, drinks' chilled & owners were superb! 👍👍👍Folks gota try their unique Bikalan Bast**d cocktail but do be forewarned of the after effect....Had a really fantabulous time with both Andy & Grace. A must-go pub for all who want to have a good time. SJ","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Brian McGovern,The Bikalan was a surprise find. Stumbled upon this gem when we went to Siniawak Night market. The night market was closed on Wednesday but Andy bar the Bikalan was open we had lovely food and a few beers and were warmly welcomed by Andy and Grace who made the trip unforgettable. Top night thanks guys for,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Ken Weston,Great place to come and enjoy a ice cold beer and they have a nice menu selection of western and local meals Andy and his wife are great hosts.The other street vendors also have a interesting selection of good food it's a great evening out can't wait to return. Thanks guys Ken,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
