Author,Review,Rating,Restaurant,Location
Le Zhi Cheong,"food and service was really good!! The atmosphere there was really cozy and there was also a live singer! really enjoyed the food there, the tacos were really nice (beef carnitas) the grilled chicken fajitas was really juicy and flavourful. really enjoyed dinner with family 🤗🤗","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Wendy Clarke,The food was good and tasty. Recommend the chili con carne.The photos on here showing the rooftop are not correct. The waiter suggested that was the previous location. Updated photos attached - not quite the same!Live music was OK but not fitting with the Mexican theme.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
kosita butrattana,El Toro Langkawi is a cool Mexican bar in Cenang Plaza. A colourful Mexican style is chic!! Staffs are friendly and they serve you really cool Margarita. Don't miss this place when you are in Langkawi 😁,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Nihal Nabhani,"The food was great, the ambiance was lively and the staff were very friendly! There was music, dancing and singing and we had a great time! Definitely recommend going for a meal here!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Soon Yan Lee,"Environment and vibe is great, staff is friendly and foods is amazing. It’s my first meal here in langkawi. I really love it. Will definitely back to this restaurant when I revisit langkawi.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Ekaterina,"+ Decent Mexican cuisine, everything was very delicious, the atmosphere of Haloween decor in the restaurant was funny and really instagrammable 😅❤️ …More+ Decent Mexican cuisine, everything was very delicious, the atmosphere of Haloween decor in the restaurant was funny and really instagrammable 😅❤️- The cocktails in a single portion contained enough alcohol, while the jolug of the same cocktail has barely any other taste except for juice. This is sad.But overall, Will visit this place during our next trip again!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
chawie chawier,"I had a great time eating & chill (live band superb 👏) at this restuarant. The staffs were friendly. Ms. Reen kept it up 👍👍👍. Most importantly, food served tasted great! Happy tummy happy me!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Charanjit Bhal,"Nice ambiance, over priced, nothing to shout about the taste of food. Lady staff not wearing mask when taking orders and talking to patrons.","Rated 2.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Mary Grace Comia,"Our family had a wonderful time here. Service was quick, food was tasty (kids enjoyed their tacos, hubby and I enjoyed our vegetarian taco and burritos), trio band made the experience richer. Hubby says it’s the best burritos closest to what we have eaten to back home in North America. Even the salsa was very nice.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
jetto 234,"Extreamly happy with the service. All the waiters are very joyful and attentive.All the food orders are served on a plate all at once, so be careful not to mix …MoreExtreamly happy with the service. All the waiters are very joyful and attentive.All the food orders are served on a plate all at once, so be careful not to mix up your meals with your family or friends. The manager her self immediately came and help us sort the situation out. (she is a very good singer too)The food is very fulfilling and delicious. Best maxican restraunt in Langkawi.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Emi Ilaniz,"A lil mexico in langkawi I would say. U'll be welcomed by friendly staffs as well as the owner, Annie. As we sat down to have our dinner, 1 of my son wasn't too happy with his taco. Being a picky eater, he refused to eat his food even after …MoreA lil mexico in langkawi I would say. U'll be welcomed by friendly staffs as well as the owner, Annie. As we sat down to have our dinner, 1 of my son wasn't too happy with his taco. Being a picky eater, he refused to eat his food even after opting out the lettuce for his taco. Thankfully Annie n the chef was kind enough to offer a 'veg free' taco option😅 from the kids menu which I overlooked. That put a smile on my son's face immediately upon receiving his food. That night we cleaned out plates! Food was delish! Annie mentioned, they strive to make sure that all the customers that visits El toro, leaves feeling happy... It was a short visit for us, but we will definitely come again for our next trip to langkawi...","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
