Author,Review,Rating,Restaurant,Location
babetamaless,I REALLY LOVE THE THAI SAUCE CHICKEN !!everything on the menu was so good and nice. the place was so calm and nice i love it ❤️❤️,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Cheong jie,"Very good place to have a dinner here ,with a clean place and cool environment.. The food here also very delicious and the price was reasonable too. Fast serving and friendly staffs..👍","Rated 4.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Nathanael Kang,Very limited a la carte menu. Restaurant was entirely empty when we went there for dinner. Food was decent and the staff friendly. I don’t think I’ll come back here or recommend it to anyone. Definitely misled by other reviews here.,"Rated 2.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
nurfasiha mahawi,Nice food nice environment nice staff.. will come again later! Should try all the menu there! Super delicious 😍😍❤👏👏👏good job hotel bayview !,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Sham Maorob,Nice food. Good service. Best recommended 👍🏼,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
CK Kumar,Good food and service. Reasonably priced.,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Gui Poh Chean Poh Chean,Variety of super delicious food was serve here. Will come again with friends and family to taste the nice food here. 👍👍👍,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Joyce Poh,"Clean and nice restaurant, friendly staff and food is nice. Price is reasonable. Do drop by to eat when you are in Malacca.","Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Sham Bin Maorof,Nice food. Reasonable price. Thumbs up!,"Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
Crystal Tey,"Nice food,friendly staff..best recommended!!!👍🏻👍🏻👍🏻","Rated 5.0 out of 5,",Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, Malacca"
