Author,Review,Rating,Restaurant,Location
Agni Royai,"I have good memories of this place. It was pricey but the food was good, as was their choice in 80s music. Now years later, the food is still good but the entire atmosphere is ruined by the exceedingly loud band. Having any proper …MoreI have good memories of this place. It was pricey but the food was good, as was their choice in 80s music. Now years later, the food is still good but the entire atmosphere is ruined by the exceedingly loud band. Having any proper conversation within the restaurant is next to impossible and the band itself is mediocre, singing the same overrated rock songs in the same style you'll hear at similar establishments around Southeast Asia. We ate quickly and left as soon as we were done. I don't look forward to another visit","Rated 2.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Johnson Lee,"My wife and I have a lovely night at Healy Mac's Irish Bar & Restaurant for celebrating my 50 years old Birthday and our 30 years anniversary. …MoreMy wife and I have a lovely night at Healy Mac's Irish Bar & Restaurant for celebrating my 50 years old Birthday and our 30 years anniversary.This place is really happening. We feel ""absolutely"" normal here and found everything that we miss since the lockdown. Beer, Food, Music and the lively environment. We need this positivity energy during the pandemic.","Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Lydia Sundra,Strict sops followed. Crowded but people had space between tables.Food was decent and loved the big portions.,"Rated 4.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Troy Tan,You can get the beat Guinness Stout here. The foods here are delicious as well.,"Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Lim Lim,"Serving varieties foods, pasta, meat, seafood, Asian food, beers etc.Good view and spacious. Lovely place to hang out.","Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Ravindran Nair,Place is nice by the sea and facing the yacht beers are great. But music is bit too load and the next door is also load which makes the ambiance too noisy. Not able to have a relaxing conversation with the love ones.,"Rated 3.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Syed Asif Ahamed,"Place is good but the food is pricey (which is anticipated). There are very less halal options there (so better don't go). If you do wanna try out Don Corleone Pizza is good and is worth the money. Mocktail's there are a joke and are pricey …MorePlace is good but the food is pricey (which is anticipated). There are very less halal options there (so better don't go). If you do wanna try out Don Corleone Pizza is good and is worth the money. Mocktail's there are a joke and are pricey with small quantity. Other items on the menu are so-so.But given the ambiance of the place, must visit (atleast once).","Rated 3.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Bee Lean Tan,Cozy environment. There is an option to either dine inside with aircond or outside with yacht view. Live band at night time.,"Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Katrina Felix,This place has absolutely great food with quality. It’s worth the price. The pork knuckle is my favourite that is a must if you visit this place. The rest of the food is great too. It’s a nice place for meals with the family with great …MoreThis place has absolutely great food with quality. It’s worth the price. The pork knuckle is my favourite that is a must if you visit this place. The rest of the food is great too. It’s a nice place for meals with the family with great music mostly from the 80s.You could also hangout for a couple of drinks during happy hour before dinner too.Cheers!,"Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
Cu Do,For penang malaysia  very nice  i all time Happy  ưhen come hể,"Rated 5.0 out of 5,",Healy Mac's Irish Bar & Restaurant,"3A-G9 & 10, Straits Quay, Jalan Seri Tanjung Pinang, Seri Tanjung Pinang, Tanjung Tokong, Pulau Pinang"
