Author,Review,Rating,Restaurant,Location
Chris Leong,"A small quaint plane in SS17, that serves excellent fine dining. The price is actually very reasonable for the quality and the atmosphere is great. …MoreA small quaint plane in SS17, that serves excellent fine dining. The price is actually very reasonable for the quality and the atmosphere is great.Do try their degustation tasting set and if you are in for a romantic event you can pre-book for special flower arrangements on your table.","Rated 4.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
Hanan,"This for people who eat a lot.So I am one person I went to my table very private, but I could have loved some decoration than just white curtains …MoreThis for people who eat a lot.So I am one person I went to my table very private, but I could have loved some decoration than just white curtainsThe bread and food was deliciousService as well","Rated 5.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
Mikhaela Panachery,"Ambience was great, tables separated by curtains so you have privacy. The food was really good, the care they put into the flavours and textures. Was super full after the 4 course meal. Pricy but worth it! …MoreAmbience was great, tables separated by curtains so you have privacy. The food was really good, the care they put into the flavours and textures. Was super full after the 4 course meal. Pricy but worth it!And one of the staff, Jimmy, was great! Super friendly and attentive. Not many customers on the weekday when we were there so he offered to help me take a lot of photos and was excellent at doing so! :)","Rated 5.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
smhan,Baked figs and gula melaka butterscotch is such a treat. Haven’t had a subpar meal here yet - worth the price and great ambiance. Excellent service - always a joy to dine here.,"Rated 5.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
Catriona Au,"We enjoyed April's 6 course dégustation menu, but since my favorite food (foei gras) wasnt part of it, so we ordered that as an extra and also opted to have the lobster tortellini since it was fresh as informed by Isadora. …MoreWe enjoyed April's 6 course dégustation menu, but since my favorite food (foei gras) wasnt part of it, so we ordered that as an extra and also opted to have the lobster tortellini since it was fresh as informed by Isadora.The bread and butter selection can be better instead of a grained loaf and plain butter.Service was good though we were surprised by the visit of a fly on our table after we ordered our food. It's also a little of a disappointment that the restaurant closes earlier than most fine dining restaurants considering it's dégustation dining where we are supposed to enjoy the food slowly. We felt a little pressured as time was ticking and as soon as we finished the last dish we were informed that the restaurant is closing in 5 minutes.","Rated 4.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
Field Eam,"Food was tasty and beautifully garnished. Ambiance was cozy and warm with soothing romantic french music in the background. The service is good and all are friendly. The chef even personally served us the birthday cake, which was very rich …MoreFood was tasty and beautifully garnished. Ambiance was cozy and warm with soothing romantic french music in the background. The service is good and all are friendly. The chef even personally served us the birthday cake, which was very rich in chocolate. So full that we couldn’t finish and Chef helped us to take away home. We will come again for sure.","Rated 5.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
Brissa Yamamura,Incredible 5 course vegan tasting menu! I still think about the truffle mushroom risotto and cherry compote crumble. Kudos to the chef!,"Rated 5.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
William Ng,"A nice place for a quiet lunch. Interior is curtained for extra privacy between tables. Service by the head waiter was friendly and attentive. Two-course lunch specials were priced at RM50++. Both was duck. Guess it's their specialty. Bread …MoreA nice place for a quiet lunch. Interior is curtained for extra privacy between tables. Service by the head waiter was friendly and attentive. Two-course lunch specials were priced at RM50++. Both was duck. Guess it's their specialty. Bread was great. Liked the fig salad as well. Fresh and light. The caramelized duck breast was also good. Cake with lentils, Brussel sprouts, and caramelized kumquat. My friend ordered the squid and mentaiko pasta (RM78). Thw scallop was fresh and sweet. Good sauce.","Rated 4.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
ivy yap,"I was thinking to give 3 or 4 star for this restaurant,   I had make reservations thru tappleapps and asking some question,No response, …MoreI was thinking to give 3 or 4 star for this restaurant,   I had make reservations thru tappleapps and asking some question,No response,call numerous of time,No response,then send messages thru Instagram, take longer time to reply, oh thanks god, finally 😂We order from a la carte menu 2 entrees, a main course and a dessert, get signature dishes offer by Elite membership for 4 course degustation menuEntrees rate 9/10, signature coddled maple syrup egg not up to my expectationsMain course rate 6/10, a bit disappointedDessert  rate 9/10,  The deconstructed apple pie with rum & raisin ice cream....suggest extra half scoop ice cream can be betterServices  rate 6/10, presentation of food ok, but your manager not friendly at all.","Rated 3.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
One Ser,I had the 6 course degustation. The ingredients were quality but the flavours were only so so.The starters were only marginal. Nothing stood out. …MoreI had the 6 course degustation. The ingredients were quality but the flavours were only so so.The starters were only marginal. Nothing stood out.The main was good and that's about it.Overall... This place needs to up their game if they want to command these prices.,"Rated 3.0 out of 5,",Bistro à Table,"6, Jalan 17/54, Seksyen 17, Petaling Jaya, Selangor"
