Author,Title,Review,Rating,Dates,Restaurant
TAndrewK,Great food- lovely host,We stopped here for lunch and we're really glad we did. Very relaxed and warm host. The food was carefully handmade to order and tasted delicious,5,Reviewed 3 February 2022 ,Alhamdulillah Restaurant
Ahmed S,A gem of a restaurant,"Without a doubt, this is the best Arabic restaurant I’ve visited in a long time. The interior is so stylish yet equally as homely and cosy. The food feels homemade and has a distinct quality that only comes from an authentic Syrian chef. We met the owner personally and were highly impressed by his enthusiastic attitude and hospitality. I would 100% visit again. Alhamdulillah Show less",5,Reviewed 30 January 2022 ,Alhamdulillah Restaurant
Saft1987,Australia,"Very delicious food, clean restaurant great service. Food was really good. Excellent portion sizes. We will definitely be back.Show less",5,Reviewed 23 January 2022 ,Alhamdulillah Restaurant
"Paradise44960454978Johor Bahru, Malaysia",Quick and nice lunch in Langkawi ,After being in splash out with our kids we look for a nearby place for a lunch.We just walk in a 2pm when the restaurant was just opening and the young owner’s daughter welcome us inside.The chicken Kebab my son ordered was definitely the best dish but overall we liked the warm atmosphere especially when the owner start to explain my son how the “shisha” works and told us about his arrival in Malaysia from Syria and his previous working experience.Definitely a nice place to go if you are in this part of Langkawi close to overprice hotel restaurants.Show less,5,Reviewed 4 January 2022 ,Alhamdulillah Restaurant
"Buzz_BuzzyKuala Lumpur, Malaysia",Great food at an excellent restaurant.,"Many restaurants in the area have closed or changed menus, so finding vegetarian/vegan options can be challenging. Alhamdulillah is the solution to this problem. We've eaten here twice in the past week. The falafel plate is delicious and very reasonably priced. The hummus and foul were nice as well. The food is fresh, the restaurant is very clean and uniquely decorated, and the owner and his daughter are lovely. Make sure to visit them for dinner when you're in Langkawi.Show less",5,Reviewed 31 December 2021 ,Alhamdulillah Restaurant
"S GKuala Lumpur, Malaysia","Excellent food especially for vegetarian, vegan & gluten free options","We had a lovely meal here and enjoyed chatting to the owner and his daughter. He is clearly passionate about what he does, and the restaurant has been put together with great care. There is a great selection of vegan and vegetarian options on the menu, all clearly labelled, and many dishes can be gluten free if needed. The food was delicious and we'd definitely eat there again.Please note that the restaurant has changed location to a couple of minutes further along the same road, and looks different to some of the pictures online, so if you've been there in the past or are looking at an out of date listing, don't worry, you can still find it!Show less",5,Reviewed 29 December 2021 ,Alhamdulillah Restaurant
Erja V,Fantastic,"Excellent food. Only takeaway now. Great people. Easy to get to location, ample parking. We will definitely go there when they are open for dine in!Show less",5,Reviewed 2 September 2021 ,Alhamdulillah Restaurant
mohamadbin,Cash only,"This is my scond time for arabic food, it was great expiriance for meThe price was good for what i had.the quality was perfect thos food come fresh with steam going u.We ordered chicken and rice+ kabsa chicken rice.This place is cash onlyShow less",5,Reviewed 17 September 2020 ,Alhamdulillah Restaurant
philipa193,Good food and welcoming owners,Very nice foot including Falafel and Humus. Family run restaurant and a nice environment for children,5,Reviewed 17 September 2020 ,Alhamdulillah Restaurant
langkawiloverstay,hidden place for me,"i live in Langkawi but never saw this place.i was working in the shop next door and i dicided to try, after i check the menu i found shawarma chicken whiche i know so i ordered and it was not frim this world. waooo so yameeeShow less",5,Reviewed 17 September 2020 ,Alhamdulillah Restaurant
mellevk,definitely worth a visit,"Been here twice while staying in Langkawi. Would come back here more times if I didn’t had to leave Langkawi. Very courteous man and the wife is an amazing cook! Really try to visit this place, you won’t regret it.",5,Reviewed 14 March 2020 ,Alhamdulillah Restaurant
alexander230900,Very good food. ,Very good food. Especially falafel . Also very cheap. Very nice owner aswell:) No problem that occurred,5,Reviewed 7 March 2020 ,Alhamdulillah Restaurant
GlutenFreeMax,Very supportive,"Very supportive in my dietary needs (gluten free), absolutely delicious food for a fair price. Will definitely come back",5,Reviewed 7 March 2020 ,Alhamdulillah Restaurant
EgyptSarah,Delicious meal ,"Was really excited to go to this restaurant having lived many years in the Middle East and it was just great! Loved every dish we had for its freshness and authentic flavours. Lovely Syrian owner too, whose wife cooks all the delicious food. Highly recommended",5,Reviewed 6 March 2020 ,Alhamdulillah Restaurant
"Mobeen ALahore, Pakistan",Amazing food,One of the best restaurant with best food. Well being Pakistani craving for food was at peak and luckily i found this place to be the best place in langkawi so far. I tried Syrian flaffil and arabic rice with chicken both dishes were un expectingly great. Chicken was so cozy and juicy its a must try placeShow less,5,Reviewed 1 March 2020 ,Alhamdulillah Restaurant
World_traveller_6398,Excellent food!,"The food was great, the service was very good, the owner is a very nice guy.
Good choice, nice quantities and great atmosphere!
Paulo",5,Reviewed 1 March 2020 ,Alhamdulillah Restaurant
pierrew715,Excellent,Nice restaurant with excellent food for a very good price. It wasn‘t overcrowded and had a very pleasant atmosphere.,5,Reviewed 1 March 2020 ,Alhamdulillah Restaurant
599grantd,Great Syrian cuisine ,Amazing service and great home style food! The host was very welcoming and friendly and even ordered us a taxi back to our hotel as we didn’t have phone access. Definitely recommend heading here If visiting Langkawi. Get the chicken Schwarma.,5,Reviewed 29 February 2020 ,Alhamdulillah Restaurant
Krufki,Great value,Food made with care and love. In this restaurant you can find the best arabic flavours and tastes. Just enjoy It!,5,Reviewed 24 February 2020 ,Alhamdulillah Restaurant
"923duniaaPhu Yen Province, Vietnam","Delicious food, nice owner.","Very nice restaurant, offers few vegan options, generous portions. Nice atmosphere and the owner is a very nice gentleman who serves the food himself. I will definitely come back! Show less",5,Reviewed 21 February 2020 ,Alhamdulillah Restaurant
D308RXsimonet,Very tasty food and nice owner!,"I got food to take away, which was no Problem. The Friese and the Falafel are very tasty and so is the Tahina! I can reccomand this place, also for vegetarians and vegans!",5,Reviewed 16 February 2020 ,Alhamdulillah Restaurant
