Author,Title,Review,Rating,Dates,Restaurant
aida569,"Great place, delicious food!","Love the Chili crab with mantau. 
Great customer service. 
Delicious food 
I’m happy. 

The location is on 4th floor, Bayview Hotel.
Very comfy and welcoming.",5,Reviewed 18 July 2020 ,Southern Court Restaurant
Jolemyn,Compose your own Chinese Dinner,"Very quiet restaurant, there was only one other table occupied on a Saturday night. Food was not disappointing as we feared though, everything was fresh and quite tasty. Price was cheap too considering it's located inside a hotel. We went back two days later with some friends but it was closed. Nice place for long meals and chit chats but not for those in a rush.Show less",4,Reviewed 9 June 2019 ,Southern Court Restaurant
nchiam,"Good food, nice environment, friendly staff & reasonably priced",Had been dining here when we are in Melaka. Food is good with comfortable environment. Pleasant staff. Ideal for family or group gathering. Value for money. Highly recommended.,5,Reviewed 11 May 2019 ,Southern Court Restaurant
serenemoon85,Convenient & cozy restaurant,Managed to dine in this restaurant during my stay at Bayview Hotel Melaka during our recent stay at Malacca. Food is pleasant and affordable.,5,Reviewed 12 April 2019 ,Southern Court Restaurant
174jayanthia,Surprised,"Quiet restaurant. Few customers and staffers. Expecting a let down but I was pleasantly surprised.  Food was excellent, mid range pricing, fresh and tasty. Glad it rained and I was lazy to go out to eat :)",5,Reviewed 30 March 2019 ,Southern Court Restaurant
"chinfamily2019Melaka, Malaysia",Chin Family Dinner,"We had dinner here on our last night at the hotel. Fandi, our waiter was very professional. Food was good but a bit slow which we didn't mind as we had our kids to entertain us. The food portion was more than reasonable, overall we paid slightly over RM150 for a full meal for four in a hotel. Kids were happy, wife was happy, my wallet was happy so I'm happy :) Show less",5,Reviewed 25 March 2019 ,Southern Court Restaurant
"koolguy163Johor Bahru, Malaysia",Good value,"We composed a 6 course sit down lunch for some friends that's going away. Taste was good and good value too. We got our food pretty fast as we had pre-ordered. We had a trainee serving us, didn't speak much english but was always smiling and very attentive. They served free cordial and fruits. Will definitely consider returning. Show less",5,Reviewed 24 March 2019 ,Southern Court Restaurant
"CuteMonsterMelaka, Malaysia",Family Dinner,The restaurant is located inside the City Bayview Hotel. I was driving around and looking for a shop lot :)Food was great especially the salted egg lotus root. We ordered twice as someone else offered to paying :) I couldn't find anything bad to say. My hot spicy chicken noodle was awesome. Service was OK too. Will not hesitate to recommend. Mom already planning to go back for the porridge. Cheers!Show less,5,Reviewed 23 March 2019 ,Southern Court Restaurant
Helloitslaila,Well deserved,They truly lived up to their “Number 1 best restaurant in Melaka”. The food was amazing! Cant wait to come back and dine here again.,5,Reviewed 6 days ago ,Bulldog
Eilingl,A must go in Melaka for Peranakan cuisine,A very good and recommended restaurant for modern Peranakan cuisine. Their sambal is to die for. Love every dish there. Reservations is a must.,5,Reviewed 2 weeks ago ,Bulldog
Sheena J,Cheated,"I choose the set for 6-8 pax that was RM280+. Had to make a reservation in advance and even confirmed on the set via WhatsApp. Based on SOP they informed me they need to divide the tables into 4 eqch and the tables can't be combined. Suggested to me that they would need to divide the chicken dish and prawn dish to two portions. I agreed and re-confjrmed that the portions in halved. No specific reply was received except that yes and the set of RM280 I'd a rough estimate. I was shocked to receive the final bill of RM475.20. I asked the cashier how come there were double charges for chicken and prawn? She informed me they had to give me 2 as the portions would not have been enough. After coming back to the hotel, I realised that all the food items were charged individually and not based on the set as well. I seriously felt cheated. Why do you give a set for 6-8 people then if you know your portions are not adequate? I paid RM54 for 5 pieces of prawn that was meant for 6-8 people in your set? How do you expect a group of 6-8 people to share 5 prawns? I went with 7 adults and 1 child and the food came in small portions. Very disappointing. Never again. I visited the place based on the number 1 recommendation from tripadvisor. How reviews can be deceiving.Show less",1,Reviewed 1 January 2022 ,Bulldog
"rutheransColombo, Sri Lanka",EXCELLENT & WILL RETURN,"We came here after a tour of the forts and the museum quarter. We dined for Lunch in a Group of Seven and one child. The food and flavour was outstanding. They have against the odds paired professionalism and courtesy with old style home cooking. They made the effort of excellence and courtesy seem effortless. It was a sheer pleasure to speak to the staff and enjoy their cuisine. The Chicken Curry, fried fish and even the chendol was outstanding. The chendol here was marvellously put together. The kacang was the traditional red bean and not the kidney beans which for was beautifully original. Show less",5,Reviewed 26 December 2021 ,Bulldog
Exploration225803,Good food and service,We always made sure to visit Bulldog whenever we are in Melaka but due to the pandemic we have not been here for more than a year. Went there for dinner on 11-Dec and happy to say the food did not disappoint. Not to be missed is their cendol which is one of the best we have ever tasted. We had the dinner set which was sufficient for 3 persons. The restaurant also followed proper SOPs. Service was also excellent and attentive. Please do make early reservations to avoid disappointment as the have limited sitting during this period.Show less,5,Reviewed 12 December 2021 ,Bulldog
"JojotanloveKuala Lumpur, Malaysia",Small portions but great service,"As soon as travel restrictions eased we visited Malacca, upon arrival Bulldog was the first place we went for lunch. This place was recommended by some local friends and I thought let’s give it a go. The ambience and atmosphere is pleasant and most importantly the place was clean. I noticed the two waitresses that served us at the time continually sanitised their hands and the tables frequently. The waitress that took our order was polite and helpful. The one that served us was courteous. I thought the service was great and I really hope they continue to uphold this, good or even descent service is rare in Malaysia. The food was great, portions are small but taste wasn’t an issue. Food was fragrant tasty and well presented which I felt did some justice to Malaccas reputation. Overall I would definitely eat here again, Bulldog please keep up your good service and attention to cleanliness and next time please have the popiah in stock! ThanksShow less",4,Reviewed 3 November 2021 ,Bulldog
DexperienceReview,"Bulldog is so unique, magnificently awesome and yet welcoming to visitors. The environment is clean, neat and pleasant","Bulldog is so unique, magnificently awesome and yet welcoming to visitors. The environment is clean, neat and pleasant, making customers feel comfortable and relaxed with no pressure. 

Dex Ng Mong Meiyan Dexperience Poor Man",5,Reviewed 11 July 2021 ,Bulldog
"WyminngKuala Lumpur, Malaysia",First Class ,"A Miss Tal, a self proclaimed short but vivacious and charming manager, took my reservation for dinner over WhatsApp. On the day of the dinner, I requested for a birthday cake for our table about two hours before dinner for my mum and dad and siblings. It was my brother’s birthday. Miss Tal replied to say they cannot provide a cake as my request was too late. However she took the initiative to order a cake for me from a cake shop. She even took the trouble to give me options on the cake shops and the available cakes. First class When we arrived at the restaurant, she introduced herself and recommended the dishes for dinner. We had the pai tee, popiah, prawn nenas lemak, chicken tempra, fried fish chili, okra and paku squid. Yummy and delicious. We wanted to finish up with their cendol for dessert but they have ran out of it. Tried the ice kacang and durian mochi instead which were good too. Definitely coming back here next time I visit Melaka Show less",5,Reviewed 29 December 2020 ,Bulldog
"Steve PKuala Lumpur, Malaysia",Top quality food,"We were recommended Bulldog by our hotel when we said we wanted to try authentic Nyonya style dishes. The atmosphere at Bulldog is modern and so was the food presentation. I'm not an expert on Nyonya cuisine so I can't tell you how really authentic it was - but I just don't care really! They suggested we try the set sharing menu and made our choices and then food arrived. The spices were balanced and delicious, the whole menu made sense and we couldn't decide what our favourite dishes were - there were several contenders for favourite! The service was great, the food was even better, prices were good - this is definitely a place worth checking out.Show less",5,Reviewed 21 October 2020 ,Bulldog
AnginAir,Excellent ,"Excellent service! I don’t recall top notch service for a long time. 

Food was great. But my favourite is the cendol! Ice well shaved! Not easy to find good cendol with pure gula Melaka. 

Overall, I like the whole atmosphere. Minimalist  with a nice bar.",5,Reviewed 26 September 2020 ,Bulldog
"SolaranceSShah Alam, Malaysia",Tried the best by the people,"It’s a nice place to go... service was ok too... atmosphere wise, comfortable~Let’s start with the food.. my boyfriend and I prompt for the set for 2 that contains one fish, 1 veggie, 1 chicken dish and rice.The veggie... I decided to go for ladies fingers with Belacan... nothing to shout out about.. it’s just tasty The second dish was the chicken and wow it tasted surprisingly good... could use a bit more flavouring but it’s good. The chicken was so tender that I believe they either steam it long or they used a pressure cooker for the chicken. Either way, the texture was a winner!Finally, I believe this was the best of the best... the Jacket Fried Fish... was phenomenal. Crunchy yet soft. Flavour was perfect and surprise, more belacan INSIDE the fish Overall, I’d say this a quite a decent place to eat... my only advice, make more veggie dishes please Show less",4,Reviewed 6 September 2020 ,Bulldog
tree5,Not a typical Nyonya Cuisine Restaurant,"menu might be limited but everything on menu are must-try nyonya dishes for new taster, eg paitee, popiah, cendol, ikan sumbat etc.

nice atmosphere, and stylish decoration too",4,Reviewed 27 July 2020 ,Bulldog
Nisha3801,Delicious Nonya food and v,Delicious Nonya food and v friendly service. The flavours were all very delicate. Do book some of their popular dishes in advance. Highly recommend you try this restaurant.,4,Reviewed 26 July 2020 ,Bulldog
