Review_ID,Target,Opinion_Expression,Polarity_Score,Sentiment,Platform,Category,Restaurant,Rating
0,service,slow,0.0,Neutral,Google,Service,Tandoor Grill,3.0
0,service,slow,0.0,Neutral,Google,Service,Tandoor Grill,3.0
1,dessert,bad,-0.5423,Negative,TripAdvisor,Food,Latest Recipe,1.0
1,queue,long,0.0,Neutral,TripAdvisor,Waiting Time,Latest Recipe,1.0
2,food,nice,0.4215,Positive,Google,Food,Madam Kwan's Suria KLCC,3.0
3,service,ok,0.296,Positive,Google,Service,Mercat Barcelona Gastrobar (1MontKiara),2.0
4,chicken,fried,0.0,Neutral,Google,Food,Restoran DEEN | Nasi Kandar,1.0
5,staff,friendly,0.4939,Positive,Google,Service,"WET® Deck, W Kuala Lumpur",1.0
6,service,good,0.4404,Positive,Google,Service,DIN by Din Tai Fung,3.0
6,food,better,0.4404,Positive,Google,Food,DIN by Din Tai Fung,3.0
7,food,more,0.0,Neutral,Google,Food,Ishin Japanese Dining,5.0
8,service,fast,0.0,Neutral,TripAdvisor,Service,Yeng Keng Cafe,4.0
8,ambience,lovely,0.5859,Positive,TripAdvisor,Ambience,Yeng Keng Cafe,4.0
9,fish,medium,0.0,Neutral,Google,Food,Anderson Curry House,1.0
9,rice,white,0.0,Neutral,Google,Food,Anderson Curry House,1.0
10,food,outstanding,0.6124,Positive,TripAdvisor,Food,Canopy Rooftop Bar and Lounge,5.0
10,atmosphere,great,0.6249,Positive,TripAdvisor,Ambience,Canopy Rooftop Bar and Lounge,5.0
10,atmosphere,thumbs_up,0.0,Neutral,TripAdvisor,Ambience,Canopy Rooftop Bar and Lounge,5.0
10,atmosphere,enjoyable,0.4404,Positive,TripAdvisor,Ambience,Canopy Rooftop Bar and Lounge,5.0
13,service,attentive,0.0,Neutral,TripAdvisor,Service,Grand Imperial Restaurant,4.0
16,area,different,0.0,Neutral,Google,Location,Cielo KL,2.0
18,price,expensive,0.0,Neutral,Google,Price,Chynna,2.0
