Restaurant,Review_Count,Avg_Star_Rating,Avg_Aspect_Ambience,Avg_Aspect_Cleanliness,Avg_Aspect_Food,Avg_Aspect_Location,Avg_Aspect_Price,Avg_Aspect_Service,Avg_Aspect_Waiting Time
'D' Selera Kelate,7,3.0,,,-0.27115,,,,
101 Food Center,6,3.3333333333333335,0.4404,,0.0502375,,0.0,,
103 Coffee Workshop,6,3.3333333333333335,0.4404,,0.1468,,-0.296,0.28595,0.0
16th St Cafe,1,2.0,,,,,,,
16th St. Cafe,24,3.5833333333333335,0.33580000000000004,,0.4287357142857143,,0.0,0.5134333333333333,0.5859
1825 Gallery Hotel,1,3.0,0.5232,,,,,0.4404,
1919 Restaurant,13,3.4615384615384617,0.39132500000000003,,0.1519228571428571,0.0,0.4404,0.3871,0.1591
1919 Restaurant Ipoh,35,3.0285714285714285,,,0.3076954545454545,0.1101,0.0,0.10482857142857142,
1919 Restaurant and Gallery,21,2.8095238095238093,0.2202,,0.14306666666666665,,-0.135575,-0.028200000000000003,0.0
1Stop Station Cafe,1,2.0,0.4404,,0.0,,,,
20 Chulia Lane Cafe,23,4.217391304347826,0.2873,,0.39283999999999997,0.5106,0.39893333333333336,0.33475,0.0
21 Bistro,19,3.4210526315789473,0.3142888888888889,,0.3520375,0.0,0.6249,0.16641,0.09106666666666667
218 Hainan Lor Mee,17,3.5294117647058822,,,0.2030875,,,,0.0
27@cove,7,4.142857142857143,0.46314999999999995,,,,,0.4215,
28 Food Centre,41,3.1707317073170733,,,0.15653,,0.0,0.4404,0.0
3 :15 Auntie Hong's Cooking,4,2.25,,,,,,0.0,
33 Blue Room,58,3.3620689655172415,0.4015722222222222,,0.3008441176470588,-0.0012199999999999989,0.0,0.30747450980392155,0.0
333 char kway teow,17,3.1176470588235294,,,0.3049,-0.31623333333333337,0.0,,0.0
362 Heong Peah 362炭烧香饼,33,2.909090909090909,,0.0,0.19473125,,,0.05757499999999999,
3H's Corner,3,1.6666666666666667,,,-0.1626,,0.0,-0.27115,0.0
3IC Food Station,20,3.05,,,0.105375,,,,
4 Fingers Crispy Chicken,14,2.642857142857143,0.0,,0.11224444444444444,,0.0,-0.2918,0.0
443 Bar Lounge,19,2.5789473684210527,0.17977500000000002,,0.27525,,0.0,0.29478333333333334,0.0
486 Baba Low,24,2.7083333333333335,0.296,,0.09437142857142858,0.0,0.0,-0.5423,0.0
4Fingers Crispy Chicken @ Sunway Pyramid,119,2.4201680672268906,0.14049999999999999,,0.1550689814814815,,0.0,-0.07327222222222222,0.0817
5 Foot Way,4,3.0,0.4215,,,0.4404,0.0,0.4404,0.0
5 Foot Way Bistro & Cafe,8,3.25,-0.296,,,,,,
7 Spice,187,2.9037433155080214,0.42369,,0.2880007882882883,0.14049999999999999,0.019823611111111108,0.08950934343434343,0.0
